,site,sample_down_to,matrix_size,mv_avg_width,nse,pbias,rmse
302,SFL,16,3000,750,[-1402.0560535],[-3.03794702],[533.44894685]
303,SFL,16,3000,1000,[-1365.53161138],[-2.8729513],[526.45977324]
304,SFL,12,4000,300,[-1.62971869e+08],[-1428.4795007],[181807.44983783]
305,SFL,12,4000,500,[-1.23709322e+08],[-1355.48741002],[158400.50633915]
306,SFL,12,4000,750,[-1.00639554e+08],[-1070.11127266],[142869.55958686]
307,SFL,12,4000,1000,[-91072592.19537391],[-907.17101965],[135909.30841775]
308,SHE,29,1000,300,[0.69760887],[-0.00257474],[4.10464695]
309,SHE,29,1000,500,[0.69726161],[0.00255882],[4.1070031]
310,SHE,29,1000,750,[0.69358784],[-0.00229261],[4.13184744]
311,SHE,29,1000,1000,[0.68792984],[-0.005023],[4.16982091]
312,SHE,14,2000,300,[0.67638042],[-0.05898775],[4.24628049]
313,SHE,14,2000,500,[0.70036064],[-0.05087128],[4.08592805]
314,SHE,14,2000,750,[0.69595171],[-0.05290212],[4.11587868]
315,SHE,14,2000,1000,[0.68897773],[-0.05356178],[4.16281416]
316,SHE,9,3000,300,[-8.23326751e+10],[9044.61258445],[2141792.51148335]
317,SHE,9,3000,500,[-7.87360788e+10],[7838.01695969],[2094489.43265642]
318,SHE,9,3000,750,[-7.62087627e+10],[5983.42919685],[2060600.20087199]
319,SHE,9,3000,1000,[-7.49607839e+10],[4593.96763039],[2043658.57612736]
320,SHE,7,4000,300,[-585894.07020354],[29.30586192],[5713.4864838]
321,SHE,7,4000,500,[-560489.92260796],[19.91831811],[5588.24674875]
322,SHE,7,4000,750,[-556581.67955162],[18.26846673],[5568.72954394]
323,SHE,7,4000,1000,[-555412.18037357],[18.27833093],[5562.87592186]
324,SHE_,22,1000,300,[-4.21584728],[0.69457185],[17.34129928]
325,SHE_,22,1000,500,[-3.12231364],[0.57227209],[15.41663944]
326,SHE_,22,1000,750,[-2.36036733],[0.47647682],[13.91914558]
327,SHE_,22,1000,1000,[-1.65208651],[0.39032217],[12.36553876]
328,SHE_,11,2000,300,[-2.57808966e+16],[1577758.72601919],[1.21918106e+09]
329,SHE_,11,2000,500,[-2.11875748e+16],[-1297232.00861703],[1.10524822e+09]
330,SHE_,11,2000,750,[-1.88012943e+16],[-365128.52364847],[1.04114945e+09]
331,SHE_,11,2000,1000,[-1.75049101e+16],[-402799.5941636],[1.00461381e+09]
332,SHE_,7,3000,300,[-4.59073166e+15],[3789094.06218409],[5.14470117e+08]
333,SHE_,7,3000,500,[-4.26888657e+15],[4128645.11753197],[4.96108316e+08]
334,SHE_,7,3000,750,[-4.02043379e+15],[3297855.01429411],[4.81454951e+08]
335,SHE_,7,3000,1000,[-3.82819437e+15],[2482480.0321391],[4.69803437e+08]
336,SHE_,5,4000,300,[-1.61497972e+16],[842835.94017373],[9.64945392e+08]
337,SHE_,5,4000,500,[-1.49845309e+16],[-100705.63379585],[9.29481555e+08]
338,SHE_,5,4000,750,[-1.44098745e+16],[-804898.8160276],[9.11484525e+08]
339,SHE_,5,4000,1000,[-1.40895499e+16],[-1472506.19731416],[9.01296656e+08]
340,SOL,56,1000,300,[-5600.04496385],[6.1448795],[1013.10614159]
341,SOL,56,1000,500,[-3918.99550035],[1.25667887],[847.54585219]
342,SOL,56,1000,750,[-2664.24424088],[-1.36626891],[698.85797482]
343,SOL,56,1000,1000,[-1356.13719788],[-2.59461782],[498.6918787]
344,SOL,28,2000,300,[-3.72812561e+12],[46822.58142404],[26137598.74473953]
345,SOL,28,2000,500,[-2.42876486e+12],[63341.97129593],[21096633.31566496]
346,SOL,28,2000,750,[-1.41999796e+12],[56023.84030765],[16131110.99126453]
347,SOL,28,2000,1000,[-1.1674858e+12],[55208.25360096],[14626695.54798656]
348,SOL_,44,1000,300,[0.56925279],[0.0521136],[3.06156307]
349,SOL_,44,1000,500,[0.56568828],[0.057593],[3.07420447]
350,SOL_,44,1000,750,[0.55133299],[0.05623298],[3.12459723]
351,SOL_,44,1000,1000,[0.51715425],[0.05204199],[3.24142652]
352,SOL_,22,2000,300,[0.56755714],[0.05520838],[3.0675831]
353,SOL_,22,2000,500,[0.56981947],[0.0612985],[3.05954856]
354,SOL_,22,2000,750,[0.55540195],[0.06018941],[3.11039645]
355,SOL_,22,2000,1000,[0.52632665],[0.0569076],[3.21049095]
356,SOL_,14,3000,300,[0.52843471],[0.0390655],[3.20333891]
357,SOL_,14,3000,500,[0.53419212],[0.04782719],[3.18372384]
358,SOL_,14,3000,750,[0.52908474],[0.04841219],[3.20113033]
359,SOL_,14,3000,1000,[0.51347997],[0.04669101],[3.25373616]
360,SOL_,11,4000,300,[0.55568156],[0.05419122],[3.10941824]
361,SOL_,11,4000,500,[0.55983148],[0.06003484],[3.09486323]
362,SOL_,11,4000,750,[0.55070605],[0.05916284],[3.12677953]
363,SOL_,11,4000,1000,[0.52903706],[0.05642588],[3.20129239]
364,STR,34,1000,300,[0.87049096],[0.16805433],[5.31440753]
365,STR,34,1000,500,[0.8846217],[0.12218058],[5.01610783]
366,STR,34,1000,750,[0.89695998],[0.08193376],[4.74032118]
367,STR,34,1000,1000,[0.90555678],[0.06605442],[4.53826854]
368,STR,17,2000,300,[0.86681538],[0.19318925],[5.38929364]
369,STR,17,2000,500,[0.88000967],[0.15240393],[5.11538042]
370,STR,17,2000,750,[0.89157985],[0.11799402],[4.86250217]
371,STR,17,2000,1000,[0.8993051],[0.10256522],[4.68606745]
372,STR,11,3000,300,[-2.44697977e+14],[-1872903.57483225],[2.31004263e+08]
373,STR,11,3000,500,[-2.07651555e+14],[-1568793.83052299],[2.12800379e+08]
